@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
424,'2019/10/24 11:54:37:247',2,26,161,0,0
425,'2019/10/24 11:54:37:281',2,26,161,0,0
426,'2019/10/24 11:54:37:315',2,26,161,0,0
427,'2019/10/24 11:54:37:349',2,26,161,0,0
428,'2019/10/24 11:54:37:382',2,26,161,0,0
429,'2019/10/24 11:54:37:416',2,26,161,0,0
430,'2019/10/24 11:54:37:450',2,26,161,0,0
431,'2019/10/24 11:54:37:484',2,26,161,0,0
432,'2019/10/24 11:54:37:518',2,26,161,0,0
433,'2019/10/24 11:54:37:552',2,26,161,0,0
434,'2019/10/24 11:54:37:587',2,26,161,0,0
435,'2019/10/24 11:54:37:622',2,26,161,0,0
436,'2019/10/24 11:54:37:656',2,26,161,0,0
437,'2019/10/24 11:54:37:693',2,26,161,0,0
438,'2019/10/24 11:54:37:728',2,26,161,0,0
439,'2019/10/24 11:54:37:761',2,26,161,0,0
440,'2019/10/24 11:54:37:796',2,26,161,0,0
441,'2019/10/24 11:54:37:830',2,26,161,0,0
442,'2019/10/24 11:54:37:865',2,26,161,0,0
443,'2019/10/24 11:54:37:901',2,26,161,0,0
444,'2019/10/24 11:54:37:938',2,26,161,0,0
445,'2019/10/24 11:54:37:967',2,42,182,0,0
446,'2019/10/24 11:54:38:001',2,56,182,0,0
447,'2019/10/24 11:54:38:034',2,80,183,0,0
448,'2019/10/24 11:54:38:068',2,111,181,0,0
449,'2019/10/24 11:54:38:103',2,137,173,0,0
450,'2019/10/24 11:54:38:137',2,153,166,0,0
451,'2019/10/24 11:54:38:171',2,165,163,0,0
452,'2019/10/24 11:54:38:205',2,176,161,0,0
453,'2019/10/24 11:54:38:239',2,194,149,0,0
454,'2019/10/24 11:54:38:271',2,206,133,0,0
455,'2019/10/24 11:54:38:310',2,200,110,0,0
